Date,Open,High,Low,Close,Volume
27-07-2016,477.33,477.33,470.53,472.05,6484163
28-07-2016,462.5,465,460,460.93,4977494
29-07-2016,462.5,464.7,461.65,463.53,2816567
30-07-2016,461.53,463,460,461.45,2343069
31-07-2016,458.5,464.95,458.48,463.33,1849543
01-08-2016,461.58,467.5,461.33,464.35,2533267
02-08-2016,463.13,480,462.93,477.75,6721410
03-08-2016,480.13,480.93,473.75,476.15,2684997
04-08-2016,476.5,481.5,474.13,477.25,2361616
05-08-2016,479.4,482.18,475,481.03,3294714
06-08-2016,481.03,484.7,474.68,475.98,2510608
07-08-2016,475.98,477.43,471.63,474.55,2866855
08-08-2016,472.58,476.75,472.25,475.9,3511758
09-08-2016,475.9,497.95,474.25,494.2,7843751
10-08-2016,492.75,492.75,482.58,485.48,4028835
11-08-2016,484.5,485.5,478.63,480.28,2830595
12-08-2016,480.65,485.75,480.03,483.13,2682328
13-08-2016,483.3,485.53,481.65,483.15,3042460
14-08-2016,485.75,497.23,484.5,495.63,5947309
15-08-2016,495.45,509.65,495.1,504.78,9309956
16-08-2016,503.35,503.35,496.65,499.38,3008865
17-08-2016,497.2,499.95,490.65,492.35,2308434
18-08-2016,493.83,495.98,490.15,491.35,1919035
19-08-2016,494.73,494.73,484.18,488.05,8633472
20-08-2016,489.7,491.6,478.53,479.4,2042500
21-08-2016,490,498.4,484.28,492.68,8905803
22-08-2016,492.68,501.5,489.5,492.18,4988369
23-08-2016,492.5,497.05,492,495.15,3745047
24-08-2016,494.5,501.45,492.8,499.93,3774772
25-08-2016,500.5,503.5,497.5,500.93,2991622
26-08-2016,497.48,503.45,496.98,502.65,2569549
27-08-2016,501,507,501,505.25,4660217
28-08-2016,505.45,509.5,498.83,501.88,2681199
29-08-2016,502.63,507.5,499.65,506.55,3011786
30-08-2016,506.5,513.2,505.93,511.45,5192067
31-08-2016,505.95,515.35,502.9,508.3,2017724
01-09-2016,508.73,508.98,499.78,501.98,3559449
02-09-2016,502.55,509.3,500.5,507.93,2093163
03-09-2016,507.4,514.48,499.2,511.03,5529581
04-09-2016,508,522.4,508,519.67,6453470
05-09-2016,515,520.75,511.5,517.8,5404453
06-09-2016,514,519.55,513.7,517.13,3485086
07-09-2016,515,520,511.9,516.63,4216736
08-09-2016,515.05,524.4,515,521.03,3300884
09-09-2016,518.85,522.25,515,516.78,2715670
10-09-2016,518.63,521,511.5,514.85,3056124
11-09-2016,514.25,515.8,509.3,510.65,3423276
12-09-2016,510.5,510.5,504.8,507.7,4473807
13-09-2016,507.65,513.2,503,506,5512988
14-09-2016,512.45,519.5,510.03,518.03,2797345
15-09-2016,520,522.45,514.45,520.67,4974118
16-09-2016,523.4,528,516.53,526.13,4734317
17-09-2016,527.63,541.7,527.63,537.9,8387735
18-09-2016,542.9,542.95,535.28,539.23,9008264
19-09-2016,540,546.48,532.55,540.58,5324625
20-09-2016,540.63,567.4,540.63,561.42,11323483
21-09-2016,562.42,580.9,561.5,576.05,13077044
22-09-2016,572.5,582.45,566.05,576.35,6602485
23-09-2016,572.5,573.95,568,571.73,2994139
24-09-2016,566.08,578.48,566,575,4825107
25-09-2016,577.5,594,577.5,588.55,7701898
26-09-2016,587.4,610.53,583.75,592.9,10302359
27-09-2016,591,591.7,581.13,587.7,6774457
28-09-2016,583.28,598.13,582.6,591.45,5411501
29-09-2016,589.45,591.55,581.35,585.33,4314156
30-09-2016,579.58,583.3,571.08,575.13,4606849
01-10-2016,571.1,578.95,559.28,572.3,6502727
02-10-2016,567.63,581.45,565.05,571.63,5122243
03-10-2016,570,577.42,567.92,569.1,4930110
04-10-2016,549.98,564.17,547.58,553.88,5276039
05-10-2016,558,562.4,551.78,554.53,4171028
06-10-2016,561.4,573.2,558.28,567.13,4403622
07-10-2016,559,560.15,553,554.58,2191345
08-10-2016,557.4,560.3,548.9,551.4,3145986
09-10-2016,553,558.65,545.1,548.88,4172856
10-10-2016,551.5,564.85,551.5,557.23,3993368
11-10-2016,562.5,570.83,559.05,564.03,4944611
12-10-2016,564.2,568,560.15,565.88,3230920
13-10-2016,551.88,574.75,551.88,568.48,3594297
14-10-2016,573.75,575.95,570,573.7,6885679
15-10-2016,572.78,582,570.23,580.38,8929987
16-10-2016,581.75,583,573.38,577.83,4729914
17-10-2016,575.5,577.53,567.17,569.3,2541804
18-10-2016,572.48,576.83,562.83,575.1,3308013
19-10-2016,573.8,594.75,571.28,586.3,8634208
20-10-2016,584.8,584.8,578.03,580.38,3289926
21-10-2016,580.38,585.4,571.63,577.95,4050728
22-10-2016,581.28,582.7,571.8,575.67,3344867
23-10-2016,577.5,580,569.03,572.05,3185208
24-10-2016,574.5,582.9,574.5,578.33,3046507
25-10-2016,581.17,583,577.78,581.7,2110482
26-10-2016,588,595.92,585.88,592.88,3838485
27-10-2016,590.1,598.5,587.58,591.9,4290526
28-10-2016,590,595.3,584.55,590.4,2214855
29-10-2016,590,594.2,586,591.25,3050750
30-10-2016,591,591.2,584.63,585.95,8977413
31-10-2016,582,590.25,571.33,573.38,3763310
01-11-2016,574.3,585,574.3,582.28,4276883
02-11-2016,585,587.75,581.1,583.75,3846497
03-11-2016,582.25,588.73,577.65,580.65,3406584
04-11-2016,573.5,586.9,571.17,583.8,6004042
05-11-2016,583.45,583.45,572,577.63,4465361
06-11-2016,580,580.65,575.05,577,1901044
07-11-2016,575.38,575.38,563.13,565.9,6279161
08-11-2016,570.5,574.78,560.65,568.58,4036351
09-11-2016,567.35,571.78,564.05,570.23,2038584
10-11-2016,572,572.28,560,562.1,2406651
11-11-2016,569.78,575.65,564.55,573.78,3881772
12-11-2016,571.5,573,561.05,563.5,2968871
13-11-2016,562.5,562.9,553.28,555.63,3601441
14-11-2016,556,562.25,552.7,556.7,4463029
15-11-2016,559,565.75,558.25,562.13,4512787
16-11-2016,564.73,586.38,562.5,581.3,8522183
17-11-2016,587,592.95,575.13,585.73,10613519
18-11-2016,551,570,551,566.6,12372542
19-11-2016,563.5,563.7,557.5,562.6,5198970
20-11-2016,561.42,567.38,556.92,562.98,5215190
21-11-2016,562,569.9,561.55,566.42,4262771
22-11-2016,569.5,596.85,568.48,589.23,12136346
23-11-2016,584,607.2,577.63,593.85,10915319
24-11-2016,592.5,598.2,575.05,577.25,4263108
25-11-2016,576,585.5,572.6,580.17,5797089
26-11-2016,587,590.83,580,588.23,5651042
27-11-2016,590,595.8,587.1,592.6,3831685
28-11-2016,590.85,603.98,590.33,599.75,2755839
29-11-2016,599.45,600.8,590.5,598.53,5147521
30-11-2016,598.63,602.35,588.05,591.28,2666115
01-12-2016,592.5,593,577.5,586.55,3011684
02-12-2016,590.63,595,587.75,591.5,2319480
03-12-2016,588.95,588.95,580.53,582.78,2859278
04-12-2016,583.75,588.45,581.5,585.35,1891752
05-12-2016,588,591.5,581.42,584,1591431
06-12-2016,586.15,591.6,583.03,590.38,1655853
07-12-2016,592.17,595.75,585,594.65,2216047
08-12-2016,594.05,604,594.05,597.28,2805987
09-12-2016,593.63,599,592.25,594.98,3102502
10-12-2016,598,598.73,586.78,591.45,4759799
11-12-2016,591.5,593.28,586.5,591.6,3569830
12-12-2016,589.78,594.2,585,589.75,4237660
13-12-2016,587.5,599,586.95,596.92,2818402
14-12-2016,597.5,603.83,590.75,592.45,4769221
